name,price,status,shipping,free_returns,items_sold
,,,,False,
Vintage Claremont McKenna College Sweatshirt - M,6000,Pre-Owned,1000,False,
Commerce and Civilization Claremont McKenna College First Fifty 50 Years 1946-96,3388,Pre-Owned,505,True,
Historical Ceramic Art Tile Orme Phelps Society Claremont McKenna College 1940's,999,,628,True,
Nike Claremont McKenna 3/4 Sleeve Hot Baseball Jacket Men's L Black 897383,1665,Brand New,200,True,
Medium NWOT Claremont California McKenna College￼ T Shirt,899,New (Other),599,False,0
Vintage 1946 Claremont McKenna College Penant,7500,Pre-Owned,498,False,
Vintage CLAREMONT MCKENNA COLLEGE 5 Year Pin,2115,Pre-Owned,499,True,
"Commerce and ..., Claremont McKenna College,  The First Fifty Years 1946-1996",1195,New (Other),591,False,
CALIFORNIA POSTCARD T_3032 MC KENNA AUDITORIUM IN CLAREMONT,398,Pre-Owned,,False,
NWOT Claremont California McKenna College red￼ T Shirt large L b1 22,1479,New (Other),0,False,
CMC Claremont McKenna College Men's Small Champion Eco Fleece Gray Hoodie,2995,Pre-Owned,1465,True,
Diploma Frame Claremont McKenna College Campus Photo Graduation Graduation Gift ,15999,Brand New,1699,False,
Claremont McKenna College Tassel Diploma Frame Degree School Claremont Universit,17499,Brand New,1699,False,
Heroes Reborn DOOM #1 January 2000 Marvel Comics Claremont mckone Mckenna,561,,844,False,
Diploma Frame Big Claremont McKenna College Campus Photo Graduation Gift Case Em,15999,Brand New,1699,False,
AllGiftFrames Claremont McKenna College Custom Diploma Frame Embossed Claremont ,15499,Brand New,1699,False,
CLAREMONT MCKENNA COLLEGE FOOTBALL MINI HELMET 3 5/8 SPEED RARE,2999,Pre-Owned,,False,
Claremont McKenna College Diploma Frame campus photo college framing certificate,12499,Brand New,1699,False,
University Graduation Gift College Photo Mat School Custom Campus Personalized,2595,Brand New,0,False,
"Claremont McKenna College Alumni license plate frame CHROME STEEL FROM THE 1990,",2000,Pre-Owned,285,False,
ORIGINAL 1946 to 1996 CLAREMONT McKENNA COLLEGE HISTORY YEARBOOK/CLAREMONT CALIF,4930,,,False,
AFL West Coast Eagles - 1998 Club issued card. Guy McKenna (Claremont),518,Pre-Owned,741,False,
"Questionnaire Object Lessons, Kindley, Dr Evan (Claremont McKenna College, USA),",1121,Brand New,3672,False,
 RARE 1901 WELLESLEY COLLEGE Barn Swallows ENTRANCE TICKET Massachusetts GIRLS,4999,,0,True,
1900s WELLESLEY COLLEGE Dance Card THE BARN Alpha Kappa Chi Sorority GIRLS Women,4999,,0,True,
1901 WELLESLEY COLLEGE Merchant of Venice Program DENISON DRAMATIC CLUB Barn ,7499,,0,True,
1900s WELLESLEY COLLEGE Calling Card SOPHIE JEWETT Mrs Edward Woolsey Bacon MASS,4999,,0,True,
AFRICAN AMERICAN ARTIST HALE WOODRUFF HARLEM RENAISSANCE DOCUMENTS VERY RARE,37500,Pre-Owned,,False,
HALE WOODRUFF AFRICAN AMERICAN ARTIST 3 PAMPHLETS 1975 1980 1975 VERY RARE,50000,Pre-Owned,,True,
Kunstraub und Sammelwahn Kunst und Politik im Dritten Reich Jonathan Petropoulos,9500,Pre-Owned,445,True,
"Douglas McGregor, Re°Isited : Managing the Human Side Og the Enterprise, Hard...",2879,New (Other),0,False,
"MASTERPIECES OF AFRICAN-AMERICAN LITERATURE—Frank N. Magill, ed.— Harper Collins",900,Pre-Owned,500,False,
HARLEM RENAISSANCE RICHMOND BARTHE ART EXHIBITION NEGATIVES AFRICAN AMERICAN,150000,,,True,
::UPDATED 10/24/2021:: Pick any 5 Sci-fi paperbacks for $7 + shipping ,700,Pre-Owned,571,False,
"Soul of Politics : Harry V. Jaffa and the Fight for America, Hardcover by Ell...",2488,Brand New,0,False,
Wendy Lower~SIGNED~Hitler's Furies: German Woman in the Nazi Killing... ~1st/1st,11895,Brand New,,False,
"The High Potential's Advantage: Get Noticed, Impress Your Bosses, and Become a T",1994,Brand New,0,False,
AfriCOBRA LITHOGRAPH 1994 20/70 James Phillips African American Artist 21.5x29,100000,,,True,
LEONARD COHEN MUSIAN AUTOGRAPH CUT CHECK AND PHOTO LEGEND VINTAGE,30000,,,True,
Surviving the Forgotten Genocide: An Armenian Memoir by John Minassian (English),3297,Brand New,0,False,
Future Of America's Political Parties,10452,Brand New,0,False,
Philosophy of Mind: the Basics by Amy Kind (English) Paperback Book,2593,Brand New,0,False,
"Embraced: Many Stories, One Destiny",1618,Brand New,0,False,
Economics and the Public Welfare,1623,Brand New,0,False,
Climate Change & The Humanities 2017,2171,Brand New,0,False,
The Extraordinary Coach: How The Best Leaders Help Others Grow,2723,Brand New,0,False,
The Texas Model: Prosperity In The Lone Star State And Lessons For America ...,1211,Brand New,0,False,
The Embodiment Of Leadership,4880,Brand New,0,False,
Medieval Allegory And The Building Of The New Jerusalem,12135,Brand New,0,False,
Douglas Mcgregor On Management: Revisiting The Human Side Of The Enterprise,3497,Brand New,0,False,
Lucretius As Theorist Of Political Life,3139,Brand New,0,False,
The Gospels According To Michael Goulder: A North American Response,4691,Brand New,0,False,
The Changes Of Cain: Violence And The Lost Brother In Cain And Abel Literat...,10426,Brand New,0,False,
"Embraced: Many Stories, One Destiny",2954,Brand New,0,False,
Religious Pluralism And Christian Truth,2806,Brand New,0,False,
The Changes of Cain: Violence and the Lost Brother in Cain and Abel Literat...,4741,Brand New,0,False,
"Strategic Executive Development: 5 Investments Bolt Dulworth, McGrath NEW Hrdbck",1000,Brand New,1250,False,
"Contentious Spirits : Religion in Korean American History, 1903-1945, Paperba...",2167,New (Other),0,False,
Goering's Man in Paris: The Story of a Nazi Art Plunderer and His World by Jonat,3111,Brand New,0,False,0
"Beckett's Art of Mismaking, Hardcover by De La Durantaye, Leland, Brand New, ...",3886,Brand New,0,False,
Constitution on the Campaign Trail : The Surprising Political Career of Ameri...,5487,New (Other),0,False,
"Educating the Prince : Essays in Honor of Harvey Mansfield, Hardcover by Blit...",10258,Brand New,0,False,
"Embodiment of Leadership, Paperback by Melina, Lois Ruskai (EDT); Burgess, Gl...",3793,New (Other),0,False,
Children of Uncertain Fortune: Mixed-Race Jamaicans in Britain and the Atlantic ,5229,Brand New,0,False,
Texas Model : Prosperity in the Lone Star State and Lessons for America - 201...,1400,New (Other),0,False,
Ronin #1-6 VF/NM 9.0+ 1983-1984 Limited Series DC Comics Frank Miller,1399,,369,False,
The Shaping of an Effective Leader: Eight Formative Principles of Leadership,899,New (Other),,True,
,,,,False,
Vintage Claremont McKenna College Sweatshirt - M,6000,Pre-Owned,1000,False,
Commerce and Civilization Claremont McKenna College First Fifty 50 Years 1946-96,3388,Pre-Owned,505,True,
Historical Ceramic Art Tile Orme Phelps Society Claremont McKenna College 1940's,999,,628,True,
Nike Claremont McKenna 3/4 Sleeve Hot Baseball Jacket Men's L Black 897383,1665,Brand New,200,True,
Medium NWOT Claremont California McKenna College￼ T Shirt,899,New (Other),599,False,0
Vintage 1946 Claremont McKenna College Penant,7500,Pre-Owned,498,False,
Vintage CLAREMONT MCKENNA COLLEGE 5 Year Pin,2115,Pre-Owned,499,True,
"Commerce and ..., Claremont McKenna College,  The First Fifty Years 1946-1996",1195,New (Other),591,False,
CALIFORNIA POSTCARD T_3032 MC KENNA AUDITORIUM IN CLAREMONT,398,Pre-Owned,,False,
NWOT Claremont California McKenna College red￼ T Shirt large L b1 22,1479,New (Other),0,False,
CMC Claremont McKenna College Men's Small Champion Eco Fleece Gray Hoodie,2995,Pre-Owned,1465,True,
Diploma Frame Claremont McKenna College Campus Photo Graduation Graduation Gift ,15999,Brand New,1699,False,
Claremont McKenna College Tassel Diploma Frame Degree School Claremont Universit,17499,Brand New,1699,False,
Heroes Reborn DOOM #1 January 2000 Marvel Comics Claremont mckone Mckenna,561,,844,False,
Diploma Frame Big Claremont McKenna College Campus Photo Graduation Gift Case Em,15999,Brand New,1699,False,
AllGiftFrames Claremont McKenna College Custom Diploma Frame Embossed Claremont ,15499,Brand New,1699,False,
CLAREMONT MCKENNA COLLEGE FOOTBALL MINI HELMET 3 5/8 SPEED RARE,2999,Pre-Owned,,False,
Claremont McKenna College Diploma Frame campus photo college framing certificate,12499,Brand New,1699,False,
University Graduation Gift College Photo Mat School Custom Campus Personalized,2595,Brand New,0,False,
"Claremont McKenna College Alumni license plate frame CHROME STEEL FROM THE 1990,",2000,Pre-Owned,285,False,
ORIGINAL 1946 to 1996 CLAREMONT McKENNA COLLEGE HISTORY YEARBOOK/CLAREMONT CALIF,4930,,,False,
AFL West Coast Eagles - 1998 Club issued card. Guy McKenna (Claremont),518,Pre-Owned,741,False,
"Questionnaire Object Lessons, Kindley, Dr Evan (Claremont McKenna College, USA),",1121,Brand New,3672,False,
 RARE 1901 WELLESLEY COLLEGE Barn Swallows ENTRANCE TICKET Massachusetts GIRLS,4999,,0,True,
1900s WELLESLEY COLLEGE Dance Card THE BARN Alpha Kappa Chi Sorority GIRLS Women,4999,,0,True,
1901 WELLESLEY COLLEGE Merchant of Venice Program DENISON DRAMATIC CLUB Barn ,7499,,0,True,
1900s WELLESLEY COLLEGE Calling Card SOPHIE JEWETT Mrs Edward Woolsey Bacon MASS,4999,,0,True,
AFRICAN AMERICAN ARTIST HALE WOODRUFF HARLEM RENAISSANCE DOCUMENTS VERY RARE,37500,Pre-Owned,,False,
HALE WOODRUFF AFRICAN AMERICAN ARTIST 3 PAMPHLETS 1975 1980 1975 VERY RARE,50000,Pre-Owned,,True,
Kunstraub und Sammelwahn Kunst und Politik im Dritten Reich Jonathan Petropoulos,9500,Pre-Owned,445,True,
"Douglas McGregor, Re°Isited : Managing the Human Side Og the Enterprise, Hard...",2879,New (Other),0,False,
"MASTERPIECES OF AFRICAN-AMERICAN LITERATURE—Frank N. Magill, ed.— Harper Collins",900,Pre-Owned,500,False,
HARLEM RENAISSANCE RICHMOND BARTHE ART EXHIBITION NEGATIVES AFRICAN AMERICAN,150000,,,True,
::UPDATED 10/24/2021:: Pick any 5 Sci-fi paperbacks for $7 + shipping ,700,Pre-Owned,571,False,
"Soul of Politics : Harry V. Jaffa and the Fight for America, Hardcover by Ell...",2488,Brand New,0,False,
Wendy Lower~SIGNED~Hitler's Furies: German Woman in the Nazi Killing... ~1st/1st,11895,Brand New,,False,
"The High Potential's Advantage: Get Noticed, Impress Your Bosses, and Become a T",1994,Brand New,0,False,
AfriCOBRA LITHOGRAPH 1994 20/70 James Phillips African American Artist 21.5x29,100000,,,True,
LEONARD COHEN MUSIAN AUTOGRAPH CUT CHECK AND PHOTO LEGEND VINTAGE,30000,,,True,
Surviving the Forgotten Genocide: An Armenian Memoir by John Minassian (English),3297,Brand New,0,False,
Philosophy of Mind: the Basics by Amy Kind (English) Paperback Book,2593,Brand New,0,False,
"Embraced: Many Stories, One Destiny",1618,Brand New,0,False,
Economics and the Public Welfare,1623,Brand New,0,False,
Climate Change & The Humanities 2017,2171,Brand New,0,False,
The Texas Model: Prosperity In The Lone Star State And Lessons For America ...,1211,Brand New,0,False,
The Extraordinary Coach: How The Best Leaders Help Others Grow,2723,Brand New,0,False,
The Embodiment Of Leadership,4880,Brand New,0,False,
Medieval Allegory And The Building Of The New Jerusalem,12135,Brand New,0,False,
Douglas Mcgregor On Management: Revisiting The Human Side Of The Enterprise,3497,Brand New,0,False,
Lucretius As Theorist Of Political Life,3139,Brand New,0,False,
The Gospels According To Michael Goulder: A North American Response,4691,Brand New,0,False,
The Changes Of Cain: Violence And The Lost Brother In Cain And Abel Literat...,10426,Brand New,0,False,
"Embraced: Many Stories, One Destiny",2954,Brand New,0,False,
Religious Pluralism And Christian Truth,2806,Brand New,0,False,
Future Of America's Political Parties,10452,Brand New,0,False,
The Changes of Cain: Violence and the Lost Brother in Cain and Abel Literat...,4741,Brand New,0,False,
"Strategic Executive Development: 5 Investments Bolt Dulworth, McGrath NEW Hrdbck",1000,Brand New,1250,False,
"Contentious Spirits : Religion in Korean American History, 1903-1945, Paperba...",2167,New (Other),0,False,
Goering's Man in Paris: The Story of a Nazi Art Plunderer and His World by Jonat,3111,Brand New,0,False,0
"Beckett's Art of Mismaking, Hardcover by De La Durantaye, Leland, Brand New, ...",3886,Brand New,0,False,
Constitution on the Campaign Trail : The Surprising Political Career of Ameri...,5487,New (Other),0,False,
"Educating the Prince : Essays in Honor of Harvey Mansfield, Hardcover by Blit...",10258,Brand New,0,False,
"Embodiment of Leadership, Paperback by Melina, Lois Ruskai (EDT); Burgess, Gl...",3793,New (Other),0,False,
Children of Uncertain Fortune: Mixed-Race Jamaicans in Britain and the Atlantic ,5229,Brand New,0,False,
Texas Model : Prosperity in the Lone Star State and Lessons for America - 201...,1400,New (Other),0,False,
Ronin #1-6 VF/NM 9.0+ 1983-1984 Limited Series DC Comics Frank Miller,1399,,369,False,
The Shaping of an Effective Leader: Eight Formative Principles of Leadership,899,New (Other),,True,
,,,,False,
Vintage Claremont McKenna College Sweatshirt - M,6000,Pre-Owned,1000,False,
Commerce and Civilization Claremont McKenna College First Fifty 50 Years 1946-96,3388,Pre-Owned,505,True,
Historical Ceramic Art Tile Orme Phelps Society Claremont McKenna College 1940's,999,,628,True,
Nike Claremont McKenna 3/4 Sleeve Hot Baseball Jacket Men's L Black 897383,1665,Brand New,200,True,
Medium NWOT Claremont California McKenna College￼ T Shirt,899,New (Other),599,False,0
Vintage 1946 Claremont McKenna College Penant,7500,Pre-Owned,498,False,
Vintage CLAREMONT MCKENNA COLLEGE 5 Year Pin,2115,Pre-Owned,499,True,
"Commerce and ..., Claremont McKenna College,  The First Fifty Years 1946-1996",1195,New (Other),591,False,
CALIFORNIA POSTCARD T_3032 MC KENNA AUDITORIUM IN CLAREMONT,398,Pre-Owned,,False,
NWOT Claremont California McKenna College red￼ T Shirt large L b1 22,1479,New (Other),0,False,
CMC Claremont McKenna College Men's Small Champion Eco Fleece Gray Hoodie,2995,Pre-Owned,1465,True,
Diploma Frame Claremont McKenna College Campus Photo Graduation Graduation Gift ,15999,Brand New,1699,False,
Claremont McKenna College Tassel Diploma Frame Degree School Claremont Universit,17499,Brand New,1699,False,
Heroes Reborn DOOM #1 January 2000 Marvel Comics Claremont mckone Mckenna,561,,844,False,
Diploma Frame Big Claremont McKenna College Campus Photo Graduation Gift Case Em,15999,Brand New,1699,False,
AllGiftFrames Claremont McKenna College Custom Diploma Frame Embossed Claremont ,15499,Brand New,1699,False,
CLAREMONT MCKENNA COLLEGE FOOTBALL MINI HELMET 3 5/8 SPEED RARE,2999,Pre-Owned,,False,
Claremont McKenna College Diploma Frame campus photo college framing certificate,12499,Brand New,1699,False,
University Graduation Gift College Photo Mat School Custom Campus Personalized,2595,Brand New,0,False,
"Claremont McKenna College Alumni license plate frame CHROME STEEL FROM THE 1990,",2000,Pre-Owned,285,False,
ORIGINAL 1946 to 1996 CLAREMONT McKENNA COLLEGE HISTORY YEARBOOK/CLAREMONT CALIF,4930,,,False,
AFL West Coast Eagles - 1998 Club issued card. Guy McKenna (Claremont),518,Pre-Owned,741,False,
"Questionnaire Object Lessons, Kindley, Dr Evan (Claremont McKenna College, USA),",1121,Brand New,3672,False,
 RARE 1901 WELLESLEY COLLEGE Barn Swallows ENTRANCE TICKET Massachusetts GIRLS,4999,,0,True,
1900s WELLESLEY COLLEGE Dance Card THE BARN Alpha Kappa Chi Sorority GIRLS Women,4999,,0,True,
1901 WELLESLEY COLLEGE Merchant of Venice Program DENISON DRAMATIC CLUB Barn ,7499,,0,True,
1900s WELLESLEY COLLEGE Calling Card SOPHIE JEWETT Mrs Edward Woolsey Bacon MASS,4999,,0,True,
AFRICAN AMERICAN ARTIST HALE WOODRUFF HARLEM RENAISSANCE DOCUMENTS VERY RARE,37500,Pre-Owned,,False,
HALE WOODRUFF AFRICAN AMERICAN ARTIST 3 PAMPHLETS 1975 1980 1975 VERY RARE,50000,Pre-Owned,,True,
Kunstraub und Sammelwahn Kunst und Politik im Dritten Reich Jonathan Petropoulos,9500,Pre-Owned,445,True,
"Douglas McGregor, Re°Isited : Managing the Human Side Og the Enterprise, Hard...",2879,New (Other),0,False,
"MASTERPIECES OF AFRICAN-AMERICAN LITERATURE—Frank N. Magill, ed.— Harper Collins",900,Pre-Owned,500,False,
HARLEM RENAISSANCE RICHMOND BARTHE ART EXHIBITION NEGATIVES AFRICAN AMERICAN,150000,,,True,
::UPDATED 10/24/2021:: Pick any 5 Sci-fi paperbacks for $7 + shipping ,700,Pre-Owned,571,False,
"Soul of Politics : Harry V. Jaffa and the Fight for America, Hardcover by Ell...",2488,Brand New,0,False,
Wendy Lower~SIGNED~Hitler's Furies: German Woman in the Nazi Killing... ~1st/1st,11895,Brand New,,False,
"The High Potential's Advantage: Get Noticed, Impress Your Bosses, and Become a T",1994,Brand New,0,False,
AfriCOBRA LITHOGRAPH 1994 20/70 James Phillips African American Artist 21.5x29,100000,,,True,
LEONARD COHEN MUSIAN AUTOGRAPH CUT CHECK AND PHOTO LEGEND VINTAGE,30000,,,True,
Surviving the Forgotten Genocide: An Armenian Memoir by John Minassian (English),3297,Brand New,0,False,
Philosophy of Mind: the Basics by Amy Kind (English) Paperback Book,2593,Brand New,0,False,
"Embraced: Many Stories, One Destiny",1618,Brand New,0,False,
Economics and the Public Welfare,1623,Brand New,0,False,
Climate Change & The Humanities 2017,2171,Brand New,0,False,
The Texas Model: Prosperity In The Lone Star State And Lessons For America ...,1211,Brand New,0,False,
The Extraordinary Coach: How The Best Leaders Help Others Grow,2723,Brand New,0,False,
The Embodiment Of Leadership,4880,Brand New,0,False,
Medieval Allegory And The Building Of The New Jerusalem,12135,Brand New,0,False,
Douglas Mcgregor On Management: Revisiting The Human Side Of The Enterprise,3497,Brand New,0,False,
Lucretius As Theorist Of Political Life,3139,Brand New,0,False,
The Gospels According To Michael Goulder: A North American Response,4691,Brand New,0,False,
The Changes Of Cain: Violence And The Lost Brother In Cain And Abel Literat...,10426,Brand New,0,False,
"Embraced: Many Stories, One Destiny",2954,Brand New,0,False,
Religious Pluralism And Christian Truth,2806,Brand New,0,False,
Future Of America's Political Parties,10452,Brand New,0,False,
The Changes of Cain: Violence and the Lost Brother in Cain and Abel Literat...,4741,Brand New,0,False,
"Strategic Executive Development: 5 Investments Bolt Dulworth, McGrath NEW Hrdbck",1000,Brand New,1250,False,
"Contentious Spirits : Religion in Korean American History, 1903-1945, Paperba...",2167,New (Other),0,False,
Goering's Man in Paris: The Story of a Nazi Art Plunderer and His World by Jonat,3111,Brand New,0,False,0
"Beckett's Art of Mismaking, Hardcover by De La Durantaye, Leland, Brand New, ...",3886,Brand New,0,False,
Constitution on the Campaign Trail : The Surprising Political Career of Ameri...,5487,New (Other),0,False,
"Educating the Prince : Essays in Honor of Harvey Mansfield, Hardcover by Blit...",10337,Brand New,0,False,
"Embodiment of Leadership, Paperback by Melina, Lois Ruskai (EDT); Burgess, Gl...",3793,New (Other),0,False,
Children of Uncertain Fortune: Mixed-Race Jamaicans in Britain and the Atlantic ,5229,Brand New,0,False,
Texas Model : Prosperity in the Lone Star State and Lessons for America - 201...,1400,New (Other),0,False,
Ronin #1-6 VF/NM 9.0+ 1983-1984 Limited Series DC Comics Frank Miller,1399,,369,False,
The Shaping of an Effective Leader: Eight Formative Principles of Leadership,899,New (Other),,True,
,,,,False,
Vintage Claremont McKenna College Sweatshirt - M,6000,Pre-Owned,1000,False,
Commerce and Civilization Claremont McKenna College First Fifty 50 Years 1946-96,3388,Pre-Owned,505,True,
Historical Ceramic Art Tile Orme Phelps Society Claremont McKenna College 1940's,999,,628,True,
Nike Claremont McKenna 3/4 Sleeve Hot Baseball Jacket Men's L Black 897383,1665,Brand New,200,True,
Medium NWOT Claremont California McKenna College￼ T Shirt,899,New (Other),599,False,0
Vintage 1946 Claremont McKenna College Penant,7500,Pre-Owned,498,False,
Vintage CLAREMONT MCKENNA COLLEGE 5 Year Pin,2115,Pre-Owned,499,True,
"Commerce and ..., Claremont McKenna College,  The First Fifty Years 1946-1996",1195,New (Other),591,False,
CALIFORNIA POSTCARD T_3032 MC KENNA AUDITORIUM IN CLAREMONT,398,Pre-Owned,,False,
NWOT Claremont California McKenna College red￼ T Shirt large L b1 22,1479,New (Other),0,False,
CMC Claremont McKenna College Men's Small Champion Eco Fleece Gray Hoodie,2995,Pre-Owned,1465,True,
Diploma Frame Claremont McKenna College Campus Photo Graduation Graduation Gift ,15999,Brand New,1699,False,
Claremont McKenna College Tassel Diploma Frame Degree School Claremont Universit,17499,Brand New,1699,False,
Heroes Reborn DOOM #1 January 2000 Marvel Comics Claremont mckone Mckenna,561,,844,False,
Diploma Frame Big Claremont McKenna College Campus Photo Graduation Gift Case Em,15999,Brand New,1699,False,
AllGiftFrames Claremont McKenna College Custom Diploma Frame Embossed Claremont ,15499,Brand New,1699,False,
CLAREMONT MCKENNA COLLEGE FOOTBALL MINI HELMET 3 5/8 SPEED RARE,2999,Pre-Owned,,False,
Claremont McKenna College Diploma Frame campus photo college framing certificate,12499,Brand New,1699,False,
University Graduation Gift College Photo Mat School Custom Campus Personalized,2595,Brand New,0,False,
"Claremont McKenna College Alumni license plate frame CHROME STEEL FROM THE 1990,",2000,Pre-Owned,285,False,
ORIGINAL 1946 to 1996 CLAREMONT McKENNA COLLEGE HISTORY YEARBOOK/CLAREMONT CALIF,4930,,,False,
AFL West Coast Eagles - 1998 Club issued card. Guy McKenna (Claremont),518,Pre-Owned,741,False,
"Questionnaire Object Lessons, Kindley, Dr Evan (Claremont McKenna College, USA),",1121,Brand New,3672,False,
 RARE 1901 WELLESLEY COLLEGE Barn Swallows ENTRANCE TICKET Massachusetts GIRLS,4999,,0,True,
1900s WELLESLEY COLLEGE Dance Card THE BARN Alpha Kappa Chi Sorority GIRLS Women,4999,,0,True,
1901 WELLESLEY COLLEGE Merchant of Venice Program DENISON DRAMATIC CLUB Barn ,7499,,0,True,
1900s WELLESLEY COLLEGE Calling Card SOPHIE JEWETT Mrs Edward Woolsey Bacon MASS,4999,,0,True,
AFRICAN AMERICAN ARTIST HALE WOODRUFF HARLEM RENAISSANCE DOCUMENTS VERY RARE,37500,Pre-Owned,,False,
HALE WOODRUFF AFRICAN AMERICAN ARTIST 3 PAMPHLETS 1975 1980 1975 VERY RARE,50000,Pre-Owned,,True,
Kunstraub und Sammelwahn Kunst und Politik im Dritten Reich Jonathan Petropoulos,9500,Pre-Owned,445,True,
"Douglas McGregor, Re°Isited : Managing the Human Side Og the Enterprise, Hard...",2879,New (Other),0,False,
"MASTERPIECES OF AFRICAN-AMERICAN LITERATURE—Frank N. Magill, ed.— Harper Collins",900,Pre-Owned,500,False,
HARLEM RENAISSANCE RICHMOND BARTHE ART EXHIBITION NEGATIVES AFRICAN AMERICAN,150000,,,True,
::UPDATED 10/24/2021:: Pick any 5 Sci-fi paperbacks for $7 + shipping ,700,Pre-Owned,571,False,
"Soul of Politics : Harry V. Jaffa and the Fight for America, Hardcover by Ell...",2488,Brand New,0,False,
Wendy Lower~SIGNED~Hitler's Furies: German Woman in the Nazi Killing... ~1st/1st,11895,Brand New,,False,
"The High Potential's Advantage: Get Noticed, Impress Your Bosses, and Become a T",1994,Brand New,0,False,
AfriCOBRA LITHOGRAPH 1994 20/70 James Phillips African American Artist 21.5x29,100000,,,True,
LEONARD COHEN MUSIAN AUTOGRAPH CUT CHECK AND PHOTO LEGEND VINTAGE,30000,,,True,
Surviving the Forgotten Genocide: An Armenian Memoir by John Minassian (English),3297,Brand New,0,False,
Future Of America's Political Parties,10452,Brand New,0,False,
Philosophy of Mind: the Basics by Amy Kind (English) Paperback Book,2593,Brand New,0,False,
"Embraced: Many Stories, One Destiny",1618,Brand New,0,False,
Economics and the Public Welfare,1623,Brand New,0,False,
Climate Change & The Humanities 2017,2171,Brand New,0,False,
The Extraordinary Coach: How The Best Leaders Help Others Grow,2723,Brand New,0,False,
The Texas Model: Prosperity In The Lone Star State And Lessons For America ...,1211,Brand New,0,False,
The Embodiment Of Leadership,4880,Brand New,0,False,
Medieval Allegory And The Building Of The New Jerusalem,12135,Brand New,0,False,
Douglas Mcgregor On Management: Revisiting The Human Side Of The Enterprise,3497,Brand New,0,False,
Lucretius As Theorist Of Political Life,3139,Brand New,0,False,
The Gospels According To Michael Goulder: A North American Response,4691,Brand New,0,False,
The Changes Of Cain: Violence And The Lost Brother In Cain And Abel Literat...,10426,Brand New,0,False,
"Embraced: Many Stories, One Destiny",2954,Brand New,0,False,
Religious Pluralism And Christian Truth,2806,Brand New,0,False,
The Changes of Cain: Violence and the Lost Brother in Cain and Abel Literat...,4741,Brand New,0,False,
"Strategic Executive Development: 5 Investments Bolt Dulworth, McGrath NEW Hrdbck",1000,Brand New,1250,False,
"Contentious Spirits : Religion in Korean American History, 1903-1945, Paperba...",2167,New (Other),0,False,
Goering's Man in Paris: The Story of a Nazi Art Plunderer and His World by Jonat,3111,Brand New,0,False,0
"Beckett's Art of Mismaking, Hardcover by De La Durantaye, Leland, Brand New, ...",3886,Brand New,0,False,
Constitution on the Campaign Trail : The Surprising Political Career of Ameri...,5487,New (Other),0,False,
"Educating the Prince : Essays in Honor of Harvey Mansfield, Hardcover by Blit...",10258,Brand New,0,False,
"Embodiment of Leadership, Paperback by Melina, Lois Ruskai (EDT); Burgess, Gl...",3793,New (Other),0,False,
Children of Uncertain Fortune: Mixed-Race Jamaicans in Britain and the Atlantic ,5229,Brand New,0,False,
Texas Model : Prosperity in the Lone Star State and Lessons for America - 201...,1400,New (Other),0,False,
Ronin #1-6 VF/NM 9.0+ 1983-1984 Limited Series DC Comics Frank Miller,1399,,369,False,
The Shaping of an Effective Leader: Eight Formative Principles of Leadership,899,New (Other),,True,
